91
0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	0	0	0	0	0	0	0	0	0	0	0
3	2	1	1	1	1	1	1	1	1	1	1	1	1
4	1	0	0	0	0	0	0	0	0	0	0	0	0
5	2	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7
6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
8	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
9	2	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6
10	2	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
11	2	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
12	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
13	1	0	0	0	0	0	0	0	0	0	0	0	0
14	2	12	11	10	9	9	9	8	7	6	5	5	5
15	2	4	3	2	1	1	1	0	0	0	0	0	0
16	2	12	12	12	12	12	12	12	11	10	9	9	9
17	2	8	7	6	5	5	5	4	3	2	1	1	1
18	2	11	10	9	8	8	8	7	6	5	4	4	4
19	2	3	2	1	0	0	0	0	0	0	0	0	0
20	2	12	12	12	12	12	12	11	10	9	8	8	8
21	2	7	6	5	4	4	4	3	2	1	0	0	0
22	1	0	0	0	0	0	0	0	0	0	0	0	0
23	2	-1	-2	-3	-4	-4	-4	-5	-6	-7	-8	-8	-8
24	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1	0	0	0	0	0	0	0	0	0	0	0	0
29	2	0	0	0	0	0	0	0	0	0	-1	-2	-3
30	2	-3	-3	-4	-5	-6	-7	-7	-7	-8	-9	-10	-11
31	2	-11	-11	12	12	12	12	12	12	12	12	12	12
32	2	0	0	0	-1	-2	-3	-3	-3	-4	-5	-6	-7
33	2	-7	-7	-8	-9	-10	-11	-11	-11	12	12	12	12
34	2	0	0	0	0	0	0	0	0	0	-1	-2	-3
35	2	-9	-10	-11	12	12	12	12	12	12	12	12	12
36	2	0	0	0	0	0	0	-1	-2	-3	-4	-4	-4
37	2	-5	-6	-7	-8	-8	-8	-8	-8	-8	-8	-8	-8
38	2	-6	-6	-6	-6	-6	-6	-6	-7	-8	-9	-10	-10
39	2	-10	-11	12	12	12	12	12	12	12	12	12	12
40	2	0	0	0	-1	-2	-2	-2	-3	-4	-5	-6	-6
41	2	-6	-7	-8	-9	-10	-10	-10	-11	12	12	12	12
42	2	0	0	0	0	0	0	0	0	0	-1	-2	-2
43	2	-2	-3	-4	-5	-6	-6	-6	-7	-8	-9	-10	-10
44	2	0	0	0	-1	-2	-2	-2	-3	-4	-5	-5	-5
45	2	-6	-7	-8	-9	-9	-9	-10	-11	12	12	12	12
46	2	0	0	0	0	0	0	0	0	0	-1	-1	-1
47	2	-2	-3	-4	-5	-5	-5	-6	-7	-8	-9	-9	-9
48	2	-10	-11	12	12	12	12	12	12	12	12	12	12
49	2	0	0	0	-1	-1	-1	-2	-3	-4	-5	-5	-5
50	2	-2	-3	-4	-5	-5	-5	-6	-7	-8	-9	-10	-11
51	2	-7	-6	-5	-4	-4	-4	-3	-2	-1	0	0	0
52	1	0	0	0	0	0	0	0	0	0	0	0	0
53	2	-11	-10	-9	-8	-8	-8	-7	-6	-5	-4	-4	-4
54	2	-3	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	1	0	0	0	0	0	0	0	0	1	2	3	4
56	2	5	6	7	7	8	9	10	11	12	12	12	12
57	2	0	0	0	0	0	0	0	0	0	1	2	3
58	2	4	5	6	7	8	9	10	11	11	12	12	12
59	2	0	0	0	0	0	0	0	0	0	0	1	2
60	2	3	4	5	6	7	8	9	10	11	10	9	8
61	2	7	6	5	4	3	2	1	0	0	0	1	2
62	2	12	12	12	12	12	12	12	12	11	12	12	12
63	2	3	4	5	6	7	8	9	10	11	12	12	12
64	2	0	0	0	0	0	0	0	0	0	0	1	2
65	1	0	0	0	0	0	0	0	0	0	0	0	0
66	1	0	0	0	0	0	0	0	0	0	0	0	0
67	1	0	0	0	0	0	0	0	0	0	0	0	0
68	1	0	0	0	0	0	0	0	0	0	0	0	0
69	2	-8	-8	-8	-8	-8	0	0	0	0	0	0	0
70	2	12	12	12	12	12	-5	-5	-5	-5	-5	-5	-5
71	1	0	0	0	0	0	0	0	0	0	0	0	0
72	2	-6	-6	-6	-6	-6	-6	-6	-6	-6	0	0	0
73	2	12	12	12	12	12	12	12	12	12	-11	-10	-4
74	2	0	0	0	0	0	0	0	0	0	0	0	-4
75	2	-4	-4	-4	-4	-4	-4	-4	-10	-11	-11	12	12
76	2	0	0	0	0	0	0	0	0	0	0	-5	-6
77	2	-9	-9	-9	-9	-8	-8	-8	-8	-8	-8	-8	-8
78	2	-8	-8	-8	-8	-8	-8	-8	-9	-9	-9	-9	12
79	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
80	0	0	0	0	0	0	0	0	0	0	0	0	0
81	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
82	0	0	0	0	0	0	0	0	0	0	0	0	0
83	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
84	0	0	0	0	0	0	0	0	0	0	0	0	0
85	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
86	0	0	0	0	0	0	0	0	0	0	0	0	0
87	2	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
88	0	0	0	0	0	0	0	0	0	0	0	0	0
89	2	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
90	0	0	0	0	0	0	0	0	0	0	0	0	0
